Date,Price,Open,High,Low,Vol.,Change %
"Jun 15, 2021",1859.65,1868,1870.85,1853.1,-,-0.33%
"Jun 14, 2021",1865.9,1879.6,1879.7,1845.7,242.30K,-0.73%
"Jun 11, 2021",1879.6,1901.9,1906.2,1876.1,220.46K,-0.89%
"Jun 10, 2021",1896.4,1891.4,1903,1871.8,250.55K,0.05%
"Jun 09, 2021",1895.5,1894.4,1901.7,1889.3,147.33K,0.06%
"Jun 08, 2021",1894.4,1901.6,1906.9,1885.7,173.60K,-0.23%
"Jun 07, 2021",1898.8,1894.3,1902.9,1883.7,146.02K,0.36%
"Jun 04, 2021",1892,1872.7,1899,1855.6,228.83K,1%
"Jun 03, 2021",1873.3,1910.5,1912.3,1866.7,278.58K,-1.92%
"Jun 02, 2021",1909.9,1903,1911.8,1896.4,166.04K,0.26%
"Jun 01, 2021",1905,1906.8,1919.2,1894.5,290.65K,-0.32%
"May 31, 2021",1911.15,1906.8,1913.4,1904.85,-,0.23%
"May 30, 2021",1906.75,1907.6,1907.9,1906.1,-,0.08%
"May 28, 2021",1905.3,1899.8,1908.8,1884.3,198.14K,0.36%
"May 27, 2021",1898.5,1899.3,1906.5,1890.8,211.79K,-0.28%
"May 26, 2021",1903.8,1902.4,1915.6,1893,178.18K,0.17%
"May 25, 2021",1900.5,1883.4,1903.7,1875.4,176.60K,0.73%
"May 24, 2021",1886.7,1885.6,1890,1877.9,55.84K,0.42%
"May 21, 2021",1878.9,1880.4,1892.3,1872.5,53.04K,-0.27%
"May 20, 2021",1883.9,1872.2,1887.2,1866.2,44.91K,0.03%
"May 19, 2021",1883.4,1872.2,1893.2,1854.4,58.81K,0.71%
"May 18, 2021",1870.1,1869.1,1877.8,1865.6,49.55K,0.03%
"May 17, 2021",1869.6,1843.5,1871.1,1843.1,42.11K,1.61%
"May 14, 2021",1840,1829.3,1849,1821.3,24.14K,0.76%
"May 13, 2021",1826.1,1816.6,1830.9,1810.7,41.80K,0.07%
"May 12, 2021",1824.8,1840.2,1846.5,1815,55.16K,-0.72%
"May 11, 2021",1838.1,1837.6,1844.3,1819.8,71.63K,-0.09%
"May 10, 2021",1839.8,1836.1,1848.4,1832.8,64.97K,0.34%
"May 07, 2021",1833.5,1817.3,1846.5,1815.7,26.44K,0.86%
"May 06, 2021",1817.9,1789,1820.5,1784.1,23.09K,1.76%
"May 05, 2021",1786.5,1780.9,1790.2,1771.5,20.46K,0.47%
"May 04, 2021",1778.2,1795.1,1801.6,1771.6,9.94K,-0.88%
"May 03, 2021",1794,1770.4,1800.8,1768.5,7.92K,1.37%
"Apr 30, 2021",1769.8,1773.9,1775,1765.6,17.31K,-0.04%
"Apr 29, 2021",1770.5,1784.2,1791.5,1756.8,8.69K,-0.32%
"Apr 28, 2021",1776.1,1777.3,1784.7,1763.9,5.98K,-0.28%
"Apr 27, 2021",1781,1783.2,1787.8,1776.6,7.80K,-0.07%
"Apr 26, 2021",1782.3,1776,1784.9,1770.8,3.72K,0.13%
"Apr 23, 2021",1779.9,1786.3,1798.2,1771.7,5.12K,-0.23%
"Apr 22, 2021",1784,1797,1800,1779.3,2.13K,-0.62%
"Apr 21, 2021",1795.2,1780.6,1800,1779,3.26K,0.83%
"Apr 20, 2021",1780.4,1772.7,1782.6,1765.8,1.91K,0.43%
"Apr 19, 2021",1772.7,1780.1,1791.7,1768.6,1.87K,-0.53%
"Apr 16, 2021",1782.2,1766.2,1786.2,1763.7,2.57K,0.76%
"Apr 15, 2021",1768.8,1738.8,1772.4,1736.8,3.88K,1.76%
"Apr 14, 2021",1738.2,1748.4,1752.5,1734.7,2.79K,-0.65%
"Apr 13, 2021",1749.5,1734.7,1751.2,1725.5,4.27K,0.86%
"Apr 12, 2021",1734.6,1745.2,1748,1729.6,3.63K,-0.7%
"Apr 09, 2021",1746.8,1757.3,1759,1732.9,4.02K,-0.77%
"Apr 08, 2021",1760.3,1739.5,1761.2,1735.8,4.00K,0.96%
"Apr 07, 2021",1743.6,1746.6,1747.2,1734,1.72K,-0.08%
"Apr 06, 2021",1745,1731.8,1748.3,1730.7,3.87K,0.83%
"Apr 05, 2021",1730.7,1732.1,1735.9,1723.6,1.37K,0.02%
"Apr 01, 2021",1730.3,1711.4,1733.2,1708.8,2.20K,0.75%
"Mar 31, 2021",1717.5,1687.3,1718.1,1679.4,2.71K,1.75%
"Mar 30, 2021",1687.9,1714.8,1715.8,1680.6,2.72K,-1.67%
"Mar 29, 2021",1716.5,1736.3,1736.3,1707.5,4.05K,-1.15%
"Mar 26, 2021",1736.5,1729.9,1738.9,1723.2,3.39K,0.43%
"Mar 25, 2021",1729.1,1738,1748.8,1725,2.95K,-0.47%
"Mar 24, 2021",1737.2,1730.7,1741.5,1729,3.96K,0.45%
"Mar 23, 2021",1729.5,1743.1,1746,1727.2,3.55K,-0.74%
"Mar 22, 2021",1742.4,1745,1745.9,1730.7,2.56K,-0.19%
"Mar 19, 2021",1745.8,1739.5,1750,1731.7,2.72K,0.54%
"Mar 18, 2021",1736.5,1751.2,1758,1722.1,1.44K,0.31%
"Mar 17, 2021",1731.1,1732,1754,1727.5,1.69K,-0.24%
"Mar 16, 2021",1735.2,1733.7,1743.8,1731,1.39K,0.08%
"Mar 15, 2021",1733.8,1730,1737.3,1724.8,0.55K,0.55%
"Mar 12, 2021",1724.3,1726.3,1732.4,1701.6,1.14K,-0.17%
"Mar 11, 2021",1727.2,1729.5,1742.5,1722.5,4.24K,0.04%
"Mar 10, 2021",1726.5,1719.5,1728.7,1711.3,7.20K,0.27%
"Mar 09, 2021",1721.9,1687.3,1722.3,1687.3,4.59K,2.32%
"Mar 08, 2021",1682.9,1711.8,1715.7,1678.4,7.90K,-1.23%
"Mar 05, 2021",1703.8,1696.8,1709.7,1690.8,3.17K,-0.12%
"Mar 04, 2021",1705.9,1712.2,1725.6,1693,4.05K,-0.88%
"Mar 03, 2021",1721,1734.6,1734.6,1705,2.19K,-1.02%
"Mar 02, 2021",1738.8,1725.5,1742.6,1709.7,3.86K,0.61%
"Mar 01, 2021",1728.2,1738.1,1762,1723,1.83K,-0.33%
"Feb 26, 2021",1734,1773.6,1777,1720.8,5.07K,-2.63%
"Feb 25, 2021",1780.8,1805.5,1805.5,1769.9,1.97K,-1.22%
"Feb 24, 2021",1802.8,1810.5,1814.8,1787.9,0.90K,-0.43%
"Feb 23, 2021",1810.5,1816.8,1817.4,1799.7,0.93K,-0.15%
"Feb 22, 2021",1813.2,1791,1816.8,1786.4,0.78K,1.74%
"Feb 19, 2021",1782.2,1771.3,1794.4,1765,1.11K,0.13%
"Feb 18, 2021",1779.9,1784.6,1792.6,1773.2,1.48K,0.12%
"Feb 17, 2021",1777.7,1792,1798,1773,1.97K,-1.45%
"Feb 16, 2021",1803.9,1826.6,1831,1793.5,1.98K,-0.82%
"Feb 15, 2021",1818.75,1820.9,1827,1815.6,-,-0.13%
"Feb 14, 2021",1821.05,1822.45,1826.3,1820.15,-,-0.39%
"Feb 12, 2021",1828.1,1825.9,1835,1817.9,1.24K,-0.21%
"Feb 11, 2021",1832,1842.2,1850.8,1826.9,1.20K,-0.85%
"Feb 10, 2021",1847.7,1840,1860.6,1840,2.06K,0.29%
"Feb 09, 2021",1842.4,1836.7,1853,1836.7,1.36K,0.19%
"Feb 08, 2021",1838.9,1820.7,1844,1814.1,2.78K,1.16%
"Feb 05, 2021",1817.8,1801.8,1820.4,1797.8,1.47K,1.22%
"Feb 04, 2021",1795.9,1838,1838,1790.3,1.74K,-2.38%
"Feb 03, 2021",1839.6,1844.3,1847.2,1834.8,1.21K,0.11%
"Feb 02, 2021",1837.6,1866.7,1869.1,1835.2,1.19K,-1.6%
"Feb 01, 2021",1867.4,1864.6,1874.6,1858.5,3.44K,0.68%
"Jan 29, 2021",1854.7,1847.6,1881.8,1847.6,1.91K,0.48%
"Jan 28, 2021",1845.8,1846.2,1870.4,1841.5,0.81K,-0.43%
"Jan 27, 2021",1853.8,1858.6,1858.6,1843,1.26K,-0.32%
"Jan 26, 2021",1859.8,1868.6,1868.6,1857,1.71K,-0.22%
"Jan 25, 2021",1863.9,1864.4,1874.4,1855,1.66K,-0.05%
"Jan 22, 2021",1864.8,1871.3,1871.3,1845,1.12K,-0.49%
"Jan 21, 2021",1874,1876.9,1882.7,1869.2,1.81K,-0.04%
"Jan 20, 2021",1874.8,1853.1,1880,1840,1.02K,1.4%
"Jan 19, 2021",1849,1832.8,1850.7,1810,1.63K,0.68%
"Jan 18, 2021",1836.6,1809.65,1839.45,1809.65,-,1.48%
"Jan 17, 2021",1809.75,1826.8,1829.1,1803.6,-,-1.59%
"Jan 15, 2021",1839,1857.9,1863.4,1832.3,0.54K,-1.18%
"Jan 14, 2021",1861,1856.9,1866.2,1836.6,1.94K,-0.19%
